Cód,Município,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,lat,lon
110001,Alta Floresta D'Oeste (RO),120,85,69,62,93,73,68,78,69,70,72,-11.9283,-61.9953
110002,Ariquemes (RO),422,494,439,452,470,454,396,454,490,464,495,-9.905710000000001,-63.0325
110003,Cabixi (RO),16,18,11,13,9,17,7,8,13,16,17,-13.4945,-60.552
110004,Cacoal (RO),323,338,368,417,474,587,674,844,1201,1289,1185,-11.4343,-61.4562
110005,Cerejeiras (RO),46,48,57,56,47,64,44,58,73,42,61,-13.187000000000001,-60.8168
110006,Colorado do Oeste (RO),38,58,59,48,47,47,42,35,54,46,55,-13.1174,-60.5454
110007,Corumbiara (RO),9,10,14,11,12,7,9,14,14,10,18,-12.9551,-60.8947
110008,Costa Marques (RO),45,38,29,29,53,24,24,29,23,25,43,-12.4367,-64.22800000000001
110009,Espigão D'Oeste (RO),40,94,92,105,88,80,95,90,86,88,91,-11.5266,-61.0252
110010,Guajará-Mirim (RO),129,119,160,115,132,128,143,133,129,130,142,-10.7889,-65.3296
110011,Jaru (RO),174,149,166,143,146,143,179,142,145,193,185,-10.4318,-62.4788
110012,Ji-Paraná (RO),744,702,695,634,665,662,540,513,591,582,606,-10.8777,-61.9322
110013,Machadinho D'Oeste (RO),76,93,71,82,99,73,77,90,90,77,72,-9.44363,-61.9818
110014,Nova Brasilândia D'Oeste (RO),59,53,54,46,55,45,51,62,60,55,55,-11.7247,-62.3127
110015,Ouro Preto do Oeste (RO),159,136,150,177,165,149,146,150,183,181,151,-10.7167,-62.2565
110018,Pimenta Bueno (RO),12,117,124,111,126,112,106,106,127,132,121,-11.672,-61.198
110020,Porto Velho (RO),2646,2867,3048,2960,3204,3257,3400,3509,3386,3226,3180,-8.760769999999999,-63.8999
110025,Presidente Médici (RO),82,78,73,61,68,47,73,74,75,74,67,-11.169,-61.8986
110026,Rio Crespo (RO),2,7,8,10,7,9,2,4,6,3,13,-9.69965,-62.9011
110028,Rolim de Moura (RO),23,210,224,203,207,188,190,197,164,163,129,-11.7271,-61.7714
110029,Santa Luzia D'Oeste (RO),7,15,12,26,26,19,30,20,20,27,28,-11.9074,-61.7777
110030,Vilhena (RO),303,328,408,358,489,484,468,498,455,443,537,-12.7502,-60.1488
110032,São Miguel do Guaporé (RO),57,52,37,45,57,61,73,62,64,55,53,-11.6953,-62.7192
110033,Nova Mamoré (RO),68,61,70,60,67,70,72,62,61,60,62,-10.4077,-65.3346
110034,Alvorada D'Oeste (RO),50,44,40,32,41,41,30,41,48,49,40,-11.3463,-62.2847
110037,Alto Alegre dos Parecis (RO),21,24,21,25,29,22,18,23,25,23,21,-12.132,-61.835
110040,Alto Paraíso (RO),46,44,50,40,33,28,31,42,36,42,41,-9.71429,-63.3188
110045,Buritis (RO),56,70,100,84,103,82,94,86,123,122,82,-10.1943,-63.8324
110050,Novo Horizonte do Oeste (RO),19,8,31,17,20,16,20,22,21,16,34,-11.6961,-61.9951
110060,Cacaulândia (RO),8,10,10,7,13,14,12,14,16,15,5,-10.349,-62.9043
110070,Campo Novo de Rondônia (RO),7,19,23,17,19,15,22,19,11,13,10,-10.5712,-63.6266
110080,Candeias do Jamari (RO),12,11,21,39,61,50,43,49,52,62,52,-8.7907,-63.7005
110090,Castanheiras (RO),7,2,2,1,6,7,5,11,7,9,10,-11.4253,-61.9482
110092,Chupinguaia (RO),5,12,8,2,4,8,9,17,19,14,23,-12.5611,-60.8877
110094,Cujubim (RO),29,38,40,21,29,10,24,18,32,23,26,-9.36065,-62.5846
110100,Governador Jorge Teixeira (RO),9,4,13,18,17,18,22,11,18,14,31,-10.61,-62.7371
110110,Itapuã do Oeste (RO),11,15,17,20,25,24,36,17,21,26,14,-9.19687,-63.1809
110120,Ministro Andreazza (RO),20,6,15,26,21,29,26,14,23,17,15,-11.196,-61.5174
110130,Mirante da Serra (RO),34,45,24,38,32,34,35,39,40,42,43,-11.029000000000002,-62.6696
110140,Monte Negro (RO),33,36,38,30,34,29,37,36,18,34,37,-10.2458,-63.29
